lsoa11cd,measure,value
E01009187,2008,333
E01009188,2008,253
E01009189,2008,243
E01009192,2008,262
E01009194,2008,231
E01009195,2008,226
E01009197,2008,148
E01009198,2008,89
E01009199,2008,105
E01009200,2008,131
E01009201,2008,361
E01009202,2008,185
E01009203,2008,247
E01009204,2008,170
E01009205,2008,351
E01009206,2008,382
E01009207,2008,396
E01009208,2008,322
E01009209,2008,426
E01009210,2008,314
E01009211,2008,261
E01009212,2008,343
E01009213,2008,423
E01009214,2008,348
E01009215,2008,294
E01009216,2008,459
E01009217,2008,365
E01009218,2008,419
E01009219,2008,290
E01009220,2008,276
E01009221,2008,340
E01009222,2008,209
E01009223,2008,352
E01009224,2008,461
E01009225,2008,552
E01009226,2008,343
E01009227,2008,343
E01009228,2008,359
E01009229,2008,310
E01009230,2008,351
E01009231,2008,481
E01009232,2008,404
E01009233,2008,274
E01009234,2008,194
E01009235,2008,347
E01009236,2008,321
E01009237,2008,307
E01009238,2008,408
E01009239,2008,195
E01009240,2008,286
E01009241,2008,306
E01009242,2008,297
E01009243,2008,362
E01009244,2008,290
E01009245,2008,329
E01009246,2008,372
E01009247,2008,281
E01009248,2008,260
E01009249,2008,314
E01009250,2008,407
E01009251,2008,337
E01009252,2008,299
E01009253,2008,340
E01009254,2008,345
E01009255,2008,307
E01009256,2008,330
E01009257,2008,278
E01009258,2008,312
E01009259,2008,301
E01009260,2008,504
E01009261,2008,412
E01009262,2008,229
E01009263,2008,249
E01009264,2008,166
E01009265,2008,265
E01009266,2008,192
E01009267,2008,408
E01009268,2008,215
E01009269,2008,201
E01009270,2008,187
E01009271,2008,213
E01009272,2008,162
E01009273,2008,236
E01009274,2008,243
E01009275,2008,167
E01009276,2008,282
E01009278,2008,246
E01009279,2008,214
E01009280,2008,268
E01009281,2008,471
E01009282,2008,235
E01009283,2008,221
E01009284,2008,194
E01009286,2008,112
E01009288,2008,443
E01009289,2008,67
E01009290,2008,64
E01009291,2008,249
E01009292,2008,301
E01009293,2008,236
E01009294,2008,380
E01009295,2008,387
E01009296,2008,164
E01009297,2008,434
E01009298,2008,189
E01009299,2008,284
E01009300,2008,232
E01009301,2008,377
E01009302,2008,443
E01009303,2008,322
E01009304,2008,413
E01009305,2008,269
E01009306,2008,413
E01009307,2008,407
E01009308,2008,349
E01009309,2008,346
E01009310,2008,411
E01009311,2008,192
E01009312,2008,364
E01009313,2008,356
E01009314,2008,378
E01009315,2008,549
E01009316,2008,353
E01009317,2008,382
E01009318,2008,344
E01009319,2008,359
E01009320,2008,398
E01009321,2008,395
E01009322,2008,274
E01009323,2008,272
E01009324,2008,448
E01009325,2008,181
E01009326,2008,217
E01009327,2008,174
E01009328,2008,251
E01009329,2008,234
E01009331,2008,220
E01009332,2008,207
E01009333,2008,119
E01009334,2008,247
E01009335,2008,198
E01009337,2008,157
E01009338,2008,144
E01009339,2008,196
E01009340,2008,258
E01009341,2008,219
E01009342,2008,261
E01009343,2008,163
E01009344,2008,141
E01009345,2008,188
E01009346,2008,126
E01009347,2008,247
E01009348,2008,241
E01009349,2008,147
E01009350,2008,153
E01009351,2008,183
E01009352,2008,178
E01009353,2008,202
E01009354,2008,229
E01009355,2008,182
E01009358,2008,166
E01009359,2008,202
E01009360,2008,215
E01009361,2008,234
E01009362,2008,130
E01009363,2008,220
E01009364,2008,119
E01009365,2008,172
E01009366,2008,224
E01009367,2008,197
E01009368,2008,152
E01009371,2008,142
E01009372,2008,131
E01009373,2008,147
E01009374,2008,181
E01009375,2008,173
E01009376,2008,163
E01009377,2008,158
E01009378,2008,243
E01009379,2008,327
E01009380,2008,155
E01009382,2008,194
E01009383,2008,148
E01009384,2008,178
E01009385,2008,217
E01009389,2008,274
E01009390,2008,191
E01009391,2008,143
E01009392,2008,194
E01009393,2008,149
E01009394,2008,263
E01009395,2008,233
E01009396,2008,237
E01009397,2008,134
E01009399,2008,137
E01009400,2008,230
E01009401,2008,191
E01009403,2008,258
E01009404,2008,255
E01009405,2008,304
E01009406,2008,389
E01009407,2008,294
E01009408,2008,272
E01009409,2008,306
E01009410,2008,429
E01009411,2008,234
E01009412,2008,283
E01009413,2008,219
E01009414,2008,172
E01009415,2008,501
E01009416,2008,361
E01009417,2008,399
E01009418,2008,432
E01009419,2008,435
E01009420,2008,387
E01009421,2008,537
E01009422,2008,591
E01009423,2008,505
E01009424,2008,379
E01009425,2008,640
E01009426,2008,494
E01009427,2008,422
E01009428,2008,536
E01009429,2008,432
E01009430,2008,546
E01009431,2008,458
E01009432,2008,348
E01009433,2008,527
E01009434,2008,216
E01009435,2008,232
E01009436,2008,362
E01009437,2008,503
E01009438,2008,272
E01009439,2008,449
E01009440,2008,467
E01009441,2008,362
E01009442,2008,462
E01009443,2008,252
E01009444,2008,506
E01009445,2008,267
E01009446,2008,447
E01009447,2008,372
E01009448,2008,380
E01009449,2008,496
E01009450,2008,428
E01009451,2008,271
E01009452,2008,401
E01009453,2008,232
E01009454,2008,258
E01009455,2008,330
E01009456,2008,354
E01009457,2008,510
E01009458,2008,282
E01009459,2008,413
E01009460,2008,336
E01009461,2008,360
E01009462,2008,404
E01009463,2008,474
E01009464,2008,383
E01009465,2008,283
E01009466,2008,388
E01009467,2008,444
E01009468,2008,469
E01009469,2008,403
E01009470,2008,395
E01009471,2008,459
E01009472,2008,392
E01009473,2008,334
E01009474,2008,349
E01009475,2008,208
E01009476,2008,245
E01009477,2008,225
E01009478,2008,194
E01009479,2008,249
E01009480,2008,235
E01009481,2008,314
E01009482,2008,151
E01009483,2008,153
E01009484,2008,180
E01009485,2008,180
E01009486,2008,190
