lsoa11cd,n_tot,cluster,cluster_prop
E01008914,63,6,0.31746031746031744
E01008915,91,1,0.5164835164835165
E01008915,91,4,0.12087912087912088
E01008915,91,5,0.15384615384615385
E01008915,91,6,0.2087912087912088
E01008916,46,1,1
E01008917,191,1,0.6178010471204188
E01008917,191,2,0.1256544502617801
E01008917,191,3,0.08376963350785341
E01008917,191,4,0.078534031413612565
E01008917,191,6,0.09424083769633508
E01008918,256,1,0.47265625
E01008918,256,2,0.09765625
E01008918,256,3,0.10546875
E01008918,256,4,0.078125
E01008918,256,5,0.05859375
E01008918,256,6,0.1875
E01008919,238,1,0.46218487394957986
E01008919,238,2,0.13865546218487396
E01008919,238,3,0.1092436974789916
E01008919,238,4,0.06722689075630252
E01008919,238,5,0.0546218487394958
E01008919,238,6,0.16806722689075632
E01008920,231,1,0.5541125541125541
E01008920,231,2,0.12987012987012986
E01008920,231,3,0.1038961038961039
E01008920,231,4,0.05194805194805195
E01008920,231,6,0.16017316017316016
E01008921,245,1,0.5551020408163265
E01008921,245,2,0.15918367346938775
E01008921,245,3,0.08571428571428572
E01008921,245,4,0.061224489795918366
E01008921,245,5,0.044897959183673466
E01008921,245,6,0.09387755102040816
E01008923,197,1,0.43147208121827413
E01008923,197,2,0.1218274111675127
E01008923,197,3,0.09644670050761421
E01008923,197,4,0.09644670050761421
E01008923,197,5,0.08121827411167512
E01008923,197,6,0.17258883248730963
E01008924,239,1,0.602510460251046
E01008924,239,2,0.1297071129707113
E01008924,239,3,0.05439330543933055
E01008924,239,4,0.08786610878661087
E01008924,239,6,0.12552301255230125
E01008925,263,1,0.5247148288973384
E01008925,263,2,0.13688212927756654
E01008925,263,3,0.10266159695817491
E01008925,263,4,0.06844106463878327
E01008925,263,5,0.045627376425855515
E01008925,263,6,0.12167300380228137
E01008927,190,1,0.45263157894736844
E01008927,190,2,0.11578947368421053
E01008927,190,3,0.1
E01008927,190,4,0.06315789473684211
E01008927,190,5,0.07368421052631578
E01008927,190,6,0.19473684210526315
E01008928,230,1,0.41304347826086957
E01008928,230,2,0.11304347826086956
E01008928,230,3,0.1
E01008928,230,4,0.11304347826086956
E01008928,230,5,0.06086956521739131
E01008928,230,6,0.2
E01008929,224,1,0.46875
E01008929,224,2,0.08482142857142858
E01008929,224,3,0.07142857142857142
E01008929,224,4,0.09821428571428571
E01008929,224,5,0.08928571428571429
E01008929,224,6,0.1875
E01008930,105,1,0.6095238095238096
E01008930,105,2,0.10476190476190476
E01008930,105,3,0.10476190476190476
E01008930,105,6,0.18095238095238095
E01008931,171,1,0.5497076023391813
E01008931,171,2,0.1695906432748538
E01008931,171,3,0.08187134502923976
E01008931,171,6,0.19883040935672514
E01008932,224,1,0.40625
E01008932,224,2,0.125
E01008932,224,3,0.09375
E01008932,224,4,0.11160714285714286
E01008932,224,5,0.0625
E01008932,224,6,0.20089285714285715
E01008933,183,1,0.5573770491803278
E01008933,183,2,0.15300546448087432
E01008933,183,4,0.09836065573770492
E01008933,183,5,0.06557377049180328
