filename,variable,type,num_values,num_unique_values,num_nulls,proportion_nulls,min_length,max_length,min,max,mean,median,stddev
accessibility_data_sat_incl_change,2015-10-06_2016-10-11_perc_change,Numeric,95097,93112,0,0,,,-84.67919325,995.1785714,2.7085666956783157,1.477791337,10.779984248840732
accessibility_data_tue_incl_change,oa11cd,String,95099,9510,0,0,9,9,E00045077,E00175803,,,
accessibility_data_tue_incl_change,type,String,95099,10,0,0,2,24,[not shown],[not shown],,,
accessibility_data_tue_incl_change,2010-10-05,Numeric,95099,63122,0,0,,,25,9453.69,1243.238676642236,1042.96,776.9888494572448
accessibility_data_tue_incl_change,2011-10-04,Numeric,95099,56735,0,0,,,21,9499.65,1231.1547862753553,1027.67,796.6769051152472
accessibility_data_tue_incl_change,2013-10-08,Numeric,95099,56380,0,0,,,21,9518.13,1217.4845851165628,1019.56,786.5841120452645
accessibility_data_tue_incl_change,2014-01-07,Numeric,95099,56672,0,0,,,21,9656.46,1226.9174215291432,1026.15,793.5005064
accessibility_data_tue_incl_change,2014-04-15,Numeric,95099,57109,0,0,,,21,9618.36,1319.056942554601,1123.52,835.1066530651937
accessibility_data_tue_incl_change,2014-07-08,Numeric,95099,56514,0,0,,,21,10406.05,1232.4497232357858,1030.35,803.2640321
accessibility_data_tue_incl_change,2014-10-07,Numeric,95099,63477,0,0,,,25,9624.52,1232.2376946129823,1031.17,786.8575431576204
accessibility_data_tue_incl_change,2015-01-13,Numeric,95099,56479,0,0,,,16,9602.41,1231.9155824982386,1027.15,807.2870331396466
accessibility_data_tue_incl_change,2015-04-21,Numeric,95099,56289,0,0,,,16,9499.24,1222.2337676526568,1023.71,789.0187272
accessibility_data_tue_incl_change,2015-07-07,Numeric,95099,56237,0,0,,,16,9527.89,1217.770706106268,1019.12,787.3291899177892
accessibility_data_tue_incl_change,2015-10-06,Numeric,95099,56277,0,0,,,16,9600.43,1214.9864042734414,1017.17,785.2168830868059
accessibility_data_tue_incl_change,2016-01-19,Numeric,95099,56330,0,0,,,16,9600.54,1223.3104973764182,1022.46,792.7142979
accessibility_data_tue_incl_change,2016-04-12,Numeric,95099,56407,0,0,,,16,9593.77,1225.6316643708135,1024.12,794.3357834078479
accessibility_data_tue_incl_change,2016-07-19,Numeric,95099,56200,0,0,,,16,9583.64,1225.4030101262895,1024.06,795.5523564792568
accessibility_data_tue_incl_change,2016-10-11,Numeric,95099,59014,0,0,,,16,9298.3,1231.866428248457,1027.67,799.9732510514999
accessibility_data_tue_incl_change,2010-10-05_2011-10-04_perc_change,Numeric,95099,92016,0,0,,,-71.13534317,110.4192842,-2.28030268,-1.813135849,6.214586929505398
accessibility_data_tue_incl_change,2013-10-08_2014-10-07_perc_change,Numeric,95099,92655,0,0,,,-66.18537415,941.2701149,2.300646567203788,1.284382284,10.91079749137493
